722017	498
722020	8943
722024	912
722039	901
722053	721
722057	674
722060	642
722068	717
722116	608
722170	8990
722181	717
722185	863
722196	901
722200	367
722215	1565
722226	323
722255	8897
722280	7348
722284	400
722310	8962
722314	740
722329	345
722350	9022
722358	944
722420	622
722435	8825
722446	1603
722479	691
722486	901
722505	533
722516	218
722523	8536
722527	778
722530	8967
722541	855
722563	269
722570	3
722589	722
722596	798
722640	87
722677	567
722680	8810
722695	1
722710	366
722725	167
722747	398
722868	151
722886	424
722897	634
722909	41
722927	385
722930	166
722934	345
722956	367
722970	8859
723065	243
723069	164
723090	945
723106	866
723120	8931
723139	1080
723146	850
723193	775
723230	9043
723270	9101
723300	886
723340	8886
723403	917
723407	957
723418	8881
723443	421
723447	282
723528	524
723546	127
723560	9016
723564	857
723575	742
723627	193
723630	8923
723656	624
723663	137
723700	327
723740	8865
723755	8880
723890	8868
723898	410
723935	7
724008	936
724019	941
724026	86
724040	29
724066	1150
724080	9044
724084	248
724095	1147
724110	9016
724125	308
724176	1858
724220	9113
724235	506
724275	1536
724286	445
724297	1374
724345	1115
724385	51
724396	341
724400	9045
724455	920
724459	284
724466	19
724507	8868
724510	8947
724518	233
724550	115
724565	806
724620	8856
724635	507
724646	218
724660	8910
724675	48
724723	1640
724756	33
724767	720
724796	940
724800	8805
724815	530
724837	1
724855	2
724880	8894
724936	609
725030	9036
725063	1403
725067	1415
725070	9186
725085	1325
725104	1947
725115	8800
725126	2022
725140	1503
725180	9210
725210	9410
725214	1532
725250	9247
725254	1238
725287	7
725290	9370
725317	1103
725320	9064
725342	1092
725360	9223
725375	6008
725430	9075
725463	336
725470	9119
725485	2417
725500	8987
725515	215
725526	213
725533	302
725555	806
725566	191
725610	701
725621	154
725625	550
725636	307
725650	8985
725690	8998
725717	841
725720	9008
725724	277
725760	8944
725775	1085
725805	50
725827	361
725830	8890
725845	4374
725867	156
725940	742
725955	6357
726060	9214
726064	351
726079	601
726116	1643
722014	537
722018	545
722025	826
722029	860
722050	8916
722069	584
722090	2
722106	6539
722135	38
722146	8885
722197	870
722212	338
722223	8890
722230	8967
722245	664
722267	279
722285	272
722300	732
722315	686
722340	8977
722348	339
722359	901
722366	474
722410	8968
722429	743
722447	798
722469	704
722487	1377
722506	590
722524	535
722539	345
722542	695
722560	8599
722575	264
722597	93
722630	8891
722656	48
722670	8922
722689	70
722700	8835
722740	8853
722748	91
722780	8829
722784	303
722810	19
722865	352
722869	365
722890	5
722906	229
722920	111
722975	4
723048	787
723080	9092
723084	980
723095	1105
723110	9073
723114	184
723125	918
723143	525
723150	9085
723183	8927
723235	8836
723246	956
723260	9092
723400	1157
723415	61
723419	246
723440	9021
723444	469
723448	373
723495	950
723510	8975
723525	634
723529	510
723550	13
723565	8626
723635	486
723723	513
723815	1482
723840	8842
723895	129
723910	218
723925	570
724016	1031
724030	3179
724070	9031
724074	1031
724085	1113
724089	8916
724100	8889
724140	9153
724177	74
724210	9133
724236	8983
724243	1287
724250	9203
724276	1271
724287	1327
724290	9216
724294	1392
724298	1423
724320	9053
724335	453
724375	1290
724386	1336
724456	989
724463	992
724500	8972
724504	8419
724508	710
724515	511
724519	768
724555	8685
724580	8939
724625	881
724636	450
724650	8960
724665	847
724676	1647
724698	901
724735	1486
724760	8921
724768	138
724797	8505
724830	8850
724838	121
724885	255
724915	591
724926	601
724940	8886
724955	684
724973	1169
725020	9028
725035	1203
725046	1123
725060	1
725064	1331
725068	1239
725075	1425
725079	1214
725086	1195
725105	1243
725116	1207
725127	732
725130	9173
725145	580
725156	1893
725170	8997
725200	9384
725208	1454
725240	9315
725266	2272
725280	9380
725314	1050
725336	1267
725347	1381
725350	9237
725376	1439
725387	23
725390	9129
725394	1721
725460	9065
725486	260
725527	754
725556	220
725570	9037
725626	269
725640	9016
725750	1021
725765	529
725776	274
725835	5
725846	110
725864	1381
725905	146
725970	9011
725985	1012
726050	9093
726083	1934
722015	246
722037	917
722040	6458
722055	258
722066	255
722080	9025
722103	687
722110	8882
722154	239
722190	9018
722213	574
722235	788
722246	2
722260	8290
722279	831
722286	688
722345	1
722400	8962
722444	670
722448	872
722480	9023
722484	826
722488	794
722499	429
722510	8928
722536	8267
722543	8
722547	320
722550	8955
722583	790
722587	384
722590	9007
722594	748
722598	878
722620	422
722660	8576
722693	37
722800	24
722880	427
722895	242
722899	345
722903	383
722910	81
722925	40
722950	8872
722976	364
723034	5
723074	599
723085	791
723096	5
723100	8961
723104	1196
723108	657
723115	725
723119	947
723140	8997
723144	566
723265	322
723320	9024
723346	1026
723416	327
723445	930
723449	358
723489	898
723526	633
723537	728
723544	802
723566	1831
723625	1
723650	8903
723658	586
723676	186
723816	73
